,y_hat,y
10433,0,0
4331,0,0
2477,0,0
1782,0,0
1746,0,0
4469,1,0
9521,0,0
1469,0,0
9649,0,0
311,0,0
7030,1,0
9889,0,0
2497,0,0
4630,0,0
1406,0,0
2221,0,0
257,0,0
434,0,0
4839,0,0
1319,0,0
1614,0,0
5528,0,0
9664,0,0
1202,0,0
3039,0,0
4722,0,0
1695,0,0
5961,0,0
2757,0,0
10074,0,0
739,0,0
8886,0,0
9085,0,0
6895,0,0
7262,0,0
3479,0,0
5584,0,0
10304,0,0
5476,0,0
4484,0,0
6462,0,0
7692,1,0
1622,0,0
8355,0,0
4879,0,0
9472,0,0
8530,0,0
407,1,0
1297,0,0
9386,0,0
8803,0,0
5890,0,0
6750,0,0
5578,0,0
10768,0,0
7121,0,0
2549,0,0
0,0,0
6231,0,0
9702,0,0
6869,0,0
6020,0,0
8712,0,0
3506,0,0
6048,0,0
8688,0,0
1500,0,0
752,0,0
8128,0,0
6109,0,0
246,0,0
3198,1,0
8975,0,0
695,0,0
9343,0,0
1409,0,0
3645,0,0
9869,0,0
7784,0,0
1757,0,0
4259,0,0
6298,0,0
5440,0,0
10665,1,0
6345,0,0
4715,0,0
10183,0,0
10706,0,0
7730,0,0
6520,0,0
2007,0,0
4904,0,1
9363,0,0
1083,0,0
8075,0,0
6587,0,0
9811,0,0
9239,0,0
5657,0,0
1802,0,0
838,0,0
9864,0,0
2843,1,0
439,0,0
6944,0,0
3224,0,0
4824,0,0
7462,0,0
8739,0,0
8559,0,0
1432,0,0
525,0,0
5504,0,0
2085,0,0
10850,0,0
8204,0,0
6566,0,0
142,0,0
3942,0,0
4437,0,0
6543,0,0
10594,0,0
5544,0,0
4512,1,0
3082,0,0
4968,1,0
4011,0,0
9274,0,0
748,0,0
7440,0,0
8252,1,0
2460,1,0
2572,0,0
3811,0,0
7291,0,0
5224,0,0
2830,0,0
8764,0,0
10279,0,0
67,0,0
6571,0,0
8225,0,0
483,0,0
9311,0,0
4708,0,0
7316,0,0
2625,0,0
7881,0,0
7102,0,0
60,0,0
3626,0,0
9652,0,0
7829,0,0
6978,0,0
1453,0,0
1366,0,0
2565,0,0
6979,0,0
10785,0,0
9458,0,0
6651,0,0
9134,0,0
1760,0,0
9759,1,0
7620,0,0
1798,0,0
1124,0,0
10168,0,0
2370,0,0
4981,0,0
8394,0,0
9716,0,0
7206,0,0
8705,0,0
9883,0,0
1404,0,0
1340,0,0
2181,0,0
9773,0,0
1546,0,0
4711,0,0
3067,1,0
10478,0,0
8992,0,0
2448,1,1
9086,0,0
2185,0,0
7736,0,0
4075,1,0
7402,0,0
714,0,0
4792,0,0
7852,0,0
5763,0,0
7863,0,0
10471,0,0
5956,0,0
3616,0,0
3863,0,0
6701,0,0
4475,0,0
6753,0,0
4563,0,0
2624,0,0
4799,0,0
7000,0,0
7684,0,0
2317,0,0
271,0,0
8601,0,0
46,0,0
8435,0,0
1365,1,0
927,0,0
4269,0,0
5108,0,0
1153,0,0
857,0,0
573,0,0
6365,0,0
6340,0,0
7515,0,0
8597,0,0
5347,0,0
8408,0,0
6706,0,0
7605,0,0
9785,0,0
4325,0,0
2696,0,0
8973,0,0
2396,0,0
8993,0,0
1249,0,0
8927,0,0
8714,0,0
8156,0,0
5545,0,0
9757,0,0
10498,0,0
7666,0,0
4817,0,0
696,0,0
1876,0,0
2660,0,0
6382,0,0
10756,0,0
9347,0,0
6618,0,0
1088,1,1
2910,0,0
2608,0,0
1194,0,0
5863,0,0
10694,0,0
5846,0,0
915,0,0
10424,0,0
618,0,0
5648,0,0
1131,0,0
1120,0,0
6374,0,0
3360,0,0
4710,0,0
6205,0,0
7383,0,0
2590,0,0
2222,0,0
8923,0,0
3196,0,0
2024,0,0
9114,0,0
1210,0,0
5306,0,0
523,0,0
2433,0,0
15,1,0
829,0,1
6597,0,0
6051,0,0
10071,0,0
3218,0,0
3377,0,0
10793,0,0
3653,0,0
5661,0,0
8142,1,0
10482,0,0
4439,0,0
5245,0,0
5333,0,0
3161,0,0
4631,0,0
1025,0,0
6655,0,0
9140,0,0
10557,0,0
7112,0,0
4592,0,0
8988,0,0
6580,0,0
4479,0,0
582,0,0
9611,0,0
9346,0,0
9383,0,0
3887,0,0
4575,1,0
5417,0,0
10161,0,0
9967,0,0
10122,0,0
812,0,0
5986,0,0
7315,0,0
188,0,0
9253,0,0
3222,0,0
10883,1,0
2208,0,0
5327,0,0
10762,0,0
2614,0,0
4794,0,0
14,0,0
6762,0,0
5775,0,0
10780,0,0
5837,0,0
4552,1,0
3884,0,0
6021,0,0
10103,0,0
10322,0,0
5981,0,0
6034,0,0
940,0,0
5398,0,0
2855,0,0
7045,0,0
2858,0,0
1870,0,0
4776,0,0
2048,0,0
7760,0,0
8827,0,0
1198,1,0
4989,0,0
4747,0,0
8882,0,0
6216,0,0
3661,0,0
1903,0,0
4362,0,0
10496,0,0
10551,0,0
6035,0,0
10269,0,0
1299,0,0
3704,0,0
9146,0,0
5520,0,0
7551,0,0
4875,0,0
10372,0,0
8822,0,0
4349,1,0
277,0,0
391,0,0
3762,0,0
4525,0,0
7650,0,0
2231,0,0
5360,0,0
9961,0,0
4263,0,0
6497,0,0
7704,0,0
10592,0,0
10043,0,0
8138,0,0
7654,0,0
421,0,0
1591,0,0
196,0,0
869,0,0
8829,0,0
1213,0,0
8671,0,0
10172,0,0
5997,0,0
737,0,0
7091,0,0
10037,0,0
7926,1,0
5317,0,0
9403,1,0
349,0,0
2205,0,0
5939,1,0
9040,0,0
6921,1,1
2595,0,0
3112,0,0
5229,0,0
3794,0,0
10336,0,0
5151,0,0
6065,1,0
2913,0,0
1950,0,0
10295,0,0
10211,0,0
9205,0,0
135,0,0
922,0,0
8462,0,0
6072,0,0
6793,0,0
7457,0,0
5456,0,0
6981,0,0
1181,0,0
10264,0,0
6424,0,0
7557,0,0
2577,0,0
939,0,0
4763,0,0
9303,0,0
10711,0,0
8577,0,0
1543,0,0
4884,1,0
10865,0,0
8384,1,0
338,0,0
393,0,0
10341,0,0
6908,0,0
2102,0,0
10755,0,0
1647,0,0
4406,0,0
6975,0,0
9882,0,0
10229,0,0
9186,0,0
4271,0,0
870,0,0
5585,0,0
3425,0,0
161,1,0
5713,0,0
5092,0,0
5022,0,0
4204,0,0
3303,0,0
1228,0,0
9511,0,0
4561,0,0
3502,1,0
269,0,0
8412,0,0
1130,0,0
9590,0,0
7270,0,0
5294,0,0
10614,1,0
1304,0,0
260,0,0
723,0,0
4353,0,0
6816,0,0
5587,0,0
8226,0,0
7226,0,0
401,0,0
465,0,0
9243,0,0
8139,1,0
6605,0,0
195,0,0
5443,0,0
4837,0,0
10764,0,0
5011,0,0
5231,0,0
7093,0,0
8536,0,0
48,0,0
769,0,0
1243,0,0
9830,0,0
9226,0,0
2401,0,0
5271,0,0
4200,0,0
6292,0,0
6589,0,0
3054,0,0
3477,0,0
2792,0,0
9199,0,0
7354,1,0
6235,0,0
10521,0,0
4158,0,0
4324,0,0
184,0,0
1419,0,0
2803,0,0
8669,0,0
3693,0,0
7449,0,0
8591,0,0
7244,0,0
7658,0,0
3148,0,0
9520,0,0
3447,0,0
6711,0,0
8282,0,0
6782,0,0
10287,0,0
3463,0,0
2704,0,0
8831,0,0
4741,0,0
3327,0,0
10822,0,0
5141,1,0
3388,0,0
1166,0,0
5714,1,0
8510,0,0
5501,1,0
4947,0,0
8741,0,0
8512,0,0
8471,0,0
7467,0,0
10063,0,0
3882,0,0
10466,0,0
1712,0,0
5908,0,0
10633,0,0
5104,0,0
1367,0,0
9847,0,0
2838,0,0
6619,0,0
7903,0,0
4810,1,0
10270,0,0
5262,0,0
1252,0,0
758,0,0
9423,0,0
10858,0,0
3577,0,0
8808,1,0
7901,0,0
5080,0,0
8290,0,0
2538,0,0
973,0,0
6503,0,0
1045,1,0
2784,1,0
1787,0,0
928,0,0
3847,0,0
8869,0,0
1660,0,0
9207,1,0
2200,0,0
6707,0,0
10501,0,0
8108,0,0
9476,0,0
10392,0,0
6297,0,0
7474,0,0
7924,0,0
2358,0,0
4685,1,0
8598,0,0
7803,0,0
8018,0,0
9767,0,0
8990,0,0
2593,1,0
3143,0,0
6431,0,0
1208,1,0
6405,0,0
4739,0,0
1847,0,0
2571,0,0
625,0,0
1788,0,0
9367,0,0
2166,0,0
3158,0,0
3977,0,0
6122,0,0
2061,0,0
7069,0,0
10132,0,0
7534,0,0
2038,0,0
6063,0,0
6090,0,0
6069,0,0
10790,0,0
8614,0,0
9000,0,0
9001,0,0
6962,0,0
5156,0,0
971,0,0
8866,0,0
4888,0,0
6357,0,0
8270,0,0
605,0,0
8663,0,0
9744,0,0
3598,0,0
2827,0,0
7092,0,0
4056,0,0
7468,0,0
8528,0,0
7243,0,0
8939,0,0
10559,0,0
4929,0,0
8261,0,0
2733,1,0
7564,0,0
9992,0,0
6504,0,0
2217,0,0
3558,0,0
1634,1,0
9821,0,0
4107,0,0
10569,0,0
9177,0,0
8834,0,0
3929,0,0
1068,0,0
5810,0,0
8060,1,0
1021,0,0
8629,0,0
8271,0,0
5352,0,0
8662,0,0
9645,0,0
7353,0,0
8295,0,0
1867,0,0
740,0,0
938,0,0
30,0,0
7657,0,0
4219,0,0
10351,0,0
2944,0,0
3207,0,0
5423,0,0
9313,0,0
386,0,0
7149,0,0
480,0,0
6080,0,0
455,0,0
563,0,0
2688,0,0
1893,0,0
2033,0,0
10450,0,0
9545,0,0
2035,0,0
5462,1,0
5492,0,0
845,0,0
4730,0,0
9279,0,0
7256,0,0
5410,0,0
9131,0,0
8205,0,0
10010,0,0
4370,0,0
943,0,0
3494,0,0
4352,0,0
7540,0,0
4523,0,0
3114,0,0
623,1,0
3774,0,0
9859,0,0
813,0,0
2403,0,0
5632,1,0
3263,0,0
5859,0,0
9268,0,0
4868,0,0
5514,1,0
2716,0,0
5064,0,0
5051,0,0
7025,0,0
6683,0,0
2323,0,0
3069,0,0
9936,0,0
8233,0,0
8231,0,0
4582,0,0
5045,0,0
376,0,0
4058,0,0
4032,0,0
6682,0,0
5019,0,0
10241,0,0
8999,0,0
2190,0,0
8381,0,0
5270,1,1
6534,0,0
6192,0,0
1222,0,0
8281,0,0
8312,0,0
3298,0,0
741,0,0
7118,0,0
8442,0,0
9360,0,0
4090,0,0
4960,0,0
5123,0,0
9698,0,0
706,1,0
6379,0,0
2463,0,0
7129,0,0
5157,0,0
1224,1,0
1091,0,0
5464,0,0
3440,0,0
1620,0,0
7529,0,0
4298,0,0
6995,0,0
8791,0,0
2214,0,0
6361,0,0
10347,0,0
1819,0,0
777,1,0
4432,0,0
7241,0,0
5770,0,0
7917,0,0
5003,0,0
9028,1,0
8913,1,0
624,0,0
10159,0,0
3982,0,0
2198,0,0
3241,0,0
2204,0,0
2331,0,0
5662,0,0
1212,0,0
3273,0,0
7670,0,0
8369,0,0
6886,0,0
5382,0,0
2655,0,0
9184,0,0
6054,0,0
3980,0,0
4440,0,0
4859,0,0
378,0,0
6684,0,0
9469,0,0
8319,0,0
8722,0,0
1538,0,0
10227,0,0
10720,0,0
8213,0,0
1079,0,0
683,1,0
3870,0,0
309,0,0
6744,0,0
6710,0,0
4279,1,0
5678,0,0
8084,1,0
7164,0,0
10846,0,0
4495,0,0
1670,0,0
10091,0,0
4510,0,0
7301,0,0
4942,0,0
9416,0,0
8976,0,0
2575,0,0
124,0,0
736,0,0
5335,0,0
959,0,0
231,1,0
1799,0,0
6640,0,0
9565,0,0
7122,0,0
4701,0,0
6164,0,0
7473,0,0
5403,0,0
1825,0,0
8032,1,0
8444,0,0
6062,0,0
7931,0,0
10328,0,0
4717,0,0
8455,0,0
4147,0,0
2580,0,0
5914,0,0
2875,0,0
1301,0,0
3439,0,0
8440,0,0
5433,0,0
760,0,0
659,0,0
511,0,0
2711,0,0
718,0,0
9903,0,0
8077,0,0
10390,0,0
4467,0,0
992,0,0
4054,0,0
1941,0,0
3834,0,0
9169,0,0
4646,0,0
678,0,0
6450,0,0
4357,0,0
10354,0,0
2304,0,0
2235,0,0
280,0,0
6124,0,0
3461,0,0
5675,0,0
4587,0,0
1168,0,0
7010,0,0
1744,1,1
1096,1,0
5786,0,0
2360,0,0
6341,0,0
10801,0,0
10338,0,0
7918,0,0
7822,0,0
8181,0,0
5439,0,0
9548,0,0
9233,0,0
7391,0,0
6928,0,0
6696,0,0
8873,0,0
185,0,0
9056,0,0
5376,0,0
1548,0,0
9981,0,0
7641,0,0
9519,0,0
8185,0,0
7157,0,0
10595,0,0
4029,0,0
7948,0,0
7700,0,0
6735,0,0
8768,0,0
3420,0,0
8368,0,0
2959,0,0
2645,0,0
3049,0,0
8573,0,0
3037,0,0
5413,0,0
5718,0,0
8730,0,0
9679,0,0
1370,0,0
3015,0,0
1753,0,0
6057,0,0
7447,0,0
7579,0,0
5065,0,0
4229,0,0
677,0,0
10874,0,0
7941,0,0
7497,0,0
8615,0,0
6767,0,0
8301,0,0
4144,0,0
7519,0,0
2117,0,0
1778,0,0
8450,0,0
8210,0,0
8232,0,0
10668,0,0
3236,0,0
8989,0,0
3393,0,0
9296,0,0
7020,0,0
7209,0,0
4867,0,0
8724,0,0
6096,0,0
2098,0,0
8160,0,0
9084,0,0
2943,0,0
5735,0,0
2272,1,0
3290,0,0
2103,0,0
244,1,0
704,0,0
2395,0,0
10658,0,0
4808,0,0
10576,0,0
4214,0,0
8441,0,0
8554,0,0
5598,0,0
10651,0,0
1875,0,0
1242,0,0
2840,0,0
10044,0,0
7737,0,0
1857,0,0
8173,0,0
7331,0,0
2933,0,0
1236,0,0
3810,0,0
2551,0,0
3769,0,0
650,0,0
4037,0,0
7224,0,0
9051,0,0
2730,0,0
1399,0,0
4606,0,0
7556,0,0
4702,0,0
4939,1,0
1039,0,0
5291,0,0
5791,0,0
6527,0,0
6152,1,0
3728,0,0
9762,0,0
9544,0,0
2464,0,0
4541,0,0
6917,0,0
3732,0,0
2626,0,0
7302,0,0
5916,0,0
10428,0,0
6165,0,0
7970,1,1
4666,0,0
8100,0,0
9015,0,0
6447,1,0
6510,0,0
1887,0,0
2720,0,0
468,0,0
8379,0,0
8986,0,0
3904,0,0
4598,0,0
10239,1,0
5872,0,0
4779,0,0
6399,0,0
4137,0,0
9122,0,0
173,0,0
707,0,0
10129,0,0
4134,0,0
6887,0,0
3877,0,0
1394,0,0
2086,0,0
10144,0,0
2334,0,0
7182,0,0
5063,0,0
7367,0,0
2656,0,0
7047,0,0
9934,0,0
10689,0,0
1911,0,0
6218,0,0
1902,0,0
6808,0,0
9987,0,0
6627,0,0
6927,0,0
9791,0,0
7859,0,0
1516,0,0
7253,0,0
4369,0,0
7477,0,0
6818,0,0
55,1,0
9326,0,0
8332,0,0
5575,0,0
7159,0,0
7364,0,0
324,0,0
7879,0,0
7806,0,0
743,0,0
2521,0,0
8164,0,0
3750,1,0
2439,0,0
9982,0,0
3722,1,0
668,0,0
5061,0,0
7099,0,0
10786,0,0
10092,0,0
7993,0,0
8263,0,1
10590,0,0
2044,0,0
1199,1,0
1040,0,0
4192,0,0
5760,0,0
2837,0,0
4088,0,0
9350,0,0
6339,0,0
5752,0,0
5488,0,0
4170,0,0
1193,0,0
8867,0,0
6203,0,0
1289,0,0
9154,0,0
5754,0,0
615,0,0
10344,0,0
651,0,0
7105,0,0
78,0,0
3554,0,0
967,0,0
1474,0,0
1815,0,0
315,0,0
9706,0,0
6878,1,0
10016,1,0
10165,0,0
4803,0,0
3825,0,0
9893,0,0
8477,0,0
5597,0,0
5949,0,0
10096,0,0
9165,0,0
6726,1,1
1440,0,0
2112,0,0
2715,0,0
2377,1,0
7912,0,0
330,0,0
6284,0,0
252,0,0
395,0,0
5976,0,0
6660,0,0
2812,0,0
10625,0,0
8613,0,0
7427,0,0
10596,0,0
5131,0,0
4979,0,0
10404,0,0
10109,0,0
7333,0,0
1878,0,0
7687,0,0
6296,0,0
7981,0,0
3846,0,0
10,0,0
6013,0,0
7356,0,0
7574,0,0
8286,0,0
2742,0,0
2068,1,0
4091,0,0
8247,0,0
5047,0,0
494,0,0
4546,0,0
9689,0,0
8431,0,0
9212,0,0
2670,0,0
3060,0,0
8340,0,0
9344,0,0
6537,0,0
2699,0,0
7797,0,0
5999,0,0
9531,0,0
1832,0,0
4111,0,0
3932,0,0
6221,0,0
5828,0,0
6730,0,0
9223,0,0
2472,0,0
4381,0,0
9831,0,0
8754,0,0
2248,0,0
4217,0,0
5052,0,0
8639,1,0
1104,1,0
5653,0,0
10293,0,0
9133,0,0
3473,1,0
8323,0,0
1582,0,0
10391,0,0
5701,0,0
6283,0,0
1621,0,0
9382,0,0
4176,1,0
9211,0,0
6588,0,0
8080,0,0
3733,0,0
5428,0,0
9441,0,0
4860,0,0
403,0,0
8276,0,0
6095,1,0
1531,0,0
5838,0,0
1930,0,0
2976,0,0
4569,0,0
9376,0,0
9059,0,0
4636,0,0
1239,0,0
5472,0,0
979,0,0
6373,0,0
9366,0,0
7100,0,0
1195,0,0
7409,0,0
5331,0,0
7499,0,0
8704,0,0
4565,0,0
419,0,0
727,0,0
9151,0,0
10639,0,0
4698,0,0
598,0,0
5310,1,0
10029,0,0
10443,0,0
10176,0,0
7930,1,0
10544,0,0
1054,0,0
6596,0,0
2281,0,0
9932,0,0
7282,0,0
9183,0,0
6861,0,0
5920,0,0
4665,0,0
3168,0,0
2113,0,0
10415,0,0
633,0,0
4472,0,0
3419,0,0
7817,0,0
9942,0,0
8638,0,0
3813,0,0
1831,0,0
1697,0,0
4096,0,0
318,0,0
8786,0,0
5503,0,0
7317,0,0
5119,0,0
6888,0,0
5086,0,0
9155,0,0
4786,0,0
10203,0,0
10364,0,0
10673,0,0
4994,1,0
3242,1,0
1355,0,0
6916,0,0
4022,0,0
2151,0,0
3254,0,0
3911,0,0
2865,0,0
2780,1,0
4425,0,0
9392,0,0
6384,0,0
1053,0,0
5116,0,0
353,0,0
6648,0,0
10878,0,0
8125,0,0
7756,0,0
998,0,0
6449,1,0
1835,0,0
3776,0,0
9665,0,0
3020,0,0
5622,0,0
3321,0,0
7342,0,0
7788,0,0
2516,0,0
4025,0,0
8901,0,0
6661,0,0
9459,0,0
8359,0,0
8095,0,0
1653,0,0
1931,0,0
2207,0,0
3051,0,0
10561,0,0
609,0,0
2262,0,0
8593,0,0
7765,0,0
10388,0,0
5687,0,0
7823,0,0
9636,0,0
4285,0,0
1353,0,0
8783,0,0
7990,0,0
4294,1,0
8126,0,0
6969,0,0
4368,0,0
4099,0,0
5032,0,0
1303,0,0
303,0,0
3983,0,0
7375,0,0
8574,0,0
2125,0,0
7978,1,0
9219,0,0
8757,0,0
4203,0,0
22,0,0
4239,0,0
934,1,1
7334,0,0
8972,0,0
9078,0,0
10886,0,0
8330,0,0
7395,0,0
3860,0,0
3023,0,0
1416,0,0
7211,0,0
19,0,0
2170,0,0
3294,0,0
3376,0,0
1602,1,1
9720,0,0
2632,0,0
4386,0,0
7807,0,0
5147,0,0
684,0,0
6565,0,0
3312,0,0
10152,0,0
1745,0,0
4055,0,0
8194,0,0
1145,0,0
5254,0,0
9010,0,0
1921,0,0
9814,0,0
3085,0,0
6277,0,0
9674,0,0
5994,0,0
3318,0,0
3838,0,0
4001,0,0
7046,0,0
3287,0,0
4676,0,0
1874,0,0
513,0,0
8130,0,0
1005,0,0
6795,0,0
837,1,0
7558,0,0
5095,0,0
1536,0,0
2081,0,0
10815,0,0
4746,0,0
8958,0,0
4226,0,0
8585,0,0
1372,0,0
7305,0,0
5658,0,0
7609,0,0
5189,1,0
2422,1,1
7694,0,0
7021,0,0
7994,0,0
4720,0,0
8197,0,0
8459,0,0
3459,0,0
3758,0,0
4131,0,0
65,0,0
4303,0,0
3063,0,0
7048,0,0
8401,0,0
8212,0,0
2942,0,0
5905,0,0
7011,0,0
5500,1,0
1038,0,0
5615,0,0
8398,0,0
3814,0,0
9774,0,0
4463,0,0
5230,0,0
6367,0,0
3679,0,0
3154,0,0
2046,0,0
6343,0,0
5263,1,0
10258,0,0
10783,0,0
703,0,0
3338,0,0
4959,0,0
1128,1,0
6946,0,0
7419,0,0
6337,0,0
1848,0,0
2719,0,0
4441,0,0
1794,0,0
6718,0,0
2821,0,0
1493,0,0
4274,0,0
9839,0,0
7809,0,0
5645,0,0
10117,0,0
6798,0,0
233,0,0
9412,0,0
6371,0,0
2559,0,0
8198,0,0
8064,0,0
8255,0,1
2563,0,0
10340,0,0
1640,0,0
10254,0,0
3881,0,0
7426,0,0
9492,0,0
4557,0,0
2324,0,0
8086,0,0
5707,0,0
2687,0,0
1486,0,0
8044,0,0
5910,0,0
868,0,0
2636,0,0
907,0,0
6429,0,0
6180,0,0
3369,0,0
5407,0,0
3760,0,0
1237,0,0
1666,1,0
3497,0,0
3708,0,0
4845,0,0
2173,0,0
2974,0,0
8275,0,0
8479,0,0
5967,0,0
6621,0,0
10507,0,0
10484,0,0
1176,1,1
8575,0,0
3656,1,0
5878,0,0
7587,0,0
5729,0,0
3964,0,0
5059,0,0
41,0,0
3480,0,0
5163,0,0
6269,0,0
3347,0,0
5068,0,0
7831,0,0
4648,0,0
9898,0,0
8877,0,0
9906,0,0
9035,0,0
6265,0,0
4928,0,0
10623,0,0
2296,1,0
2267,0,0
7821,0,0
3311,0,0
8333,0,0
8566,0,0
9851,0,0
6075,0,0
2118,0,0
5085,0,0
1018,0,0
3061,0,0
4878,0,0
9495,0,0
9675,0,0
2938,0,0
9039,0,0
7525,0,0
4240,0,0
9733,0,0
2097,0,0
10709,0,0
642,0,0
6535,1,0
7796,0,0
6936,0,0
8686,0,0
1986,0,0
1175,0,0
3382,0,0
1677,0,0
490,0,0
806,1,1
8920,0,0
6847,0,0
444,0,0
4873,0,0
8964,0,0
2307,1,0
10806,0,0
10114,0,0
3984,0,0
7801,0,0
1430,0,0
6318,0,0
7511,0,0
4689,0,0
1119,0,0
1814,1,1
7115,0,0
1571,0,0
3976,0,0
2261,0,0
3450,0,0
3773,0,0
8800,0,0
2128,0,0
8207,0,0
4828,0,0
3441,0,0
4456,0,0
10719,0,0
1358,1,1
5213,0,0
4501,0,0
5954,1,1
3768,0,0
4938,0,0
1810,0,0
10313,0,0
4136,0,0
5250,0,0
2767,0,0
1028,0,0
9637,0,0
4398,1,0
7197,0,0
2067,0,0
7146,0,0
2025,0,0
5226,0,0
1864,0,0
5689,0,0
8240,0,0
10644,0,0
6544,0,0
2119,0,0
4540,0,0
6191,0,0
8560,0,0
10395,0,0
10225,0,0
8180,0,0
7123,0,0
10737,0,0
2001,0,0
23,0,0
50,0,0
7769,0,0
6742,0,0
8667,0,0
1437,0,0
9996,0,0
10518,0,0
3465,0,0
9142,0,0
3077,0,0
5182,0,0
3035,0,0
2653,0,0
10632,0,0
10162,0,0
4940,0,0
6841,0,0
5508,0,0
5614,0,0
4423,0,0
2540,0,0
4644,0,0
8630,0,0
1678,0,0
6670,0,0
1356,0,0
5617,0,0
9855,0,0
8045,0,0
545,0,0
2869,0,0
6635,0,0
9324,0,0
4641,0,0
10575,0,0
8009,0,0
4623,0,0
4275,0,0
6796,1,0
6104,0,0
145,0,0
10809,0,0
3258,0,0
5069,0,0
2353,0,0
2820,0,0
10524,0,0
4181,0,0
2488,0,0
2344,1,0
8266,0,0
7509,0,0
1850,0,0
2924,1,0
10746,0,0
8592,0,0
3352,0,0
7923,0,0
5469,0,0
4870,0,0
5595,0,0
8464,0,0
3462,0,0
7074,0,0
6208,0,0
6280,0,0
4608,0,0
10791,0,0
5907,0,0
3162,0,0
7776,0,0
5913,0,0
7340,0,0
8201,0,0
1458,0,0
1146,1,0
10851,0,0
7432,0,0
2553,0,0
207,0,0
2620,0,0
2491,0,0
911,0,0
8069,0,0
8965,0,0
9236,0,0
10192,0,0
2348,0,0
8545,0,0
7023,0,0
1455,0,0
9161,0,0
6398,0,0
8447,0,0
4194,0,0
7283,0,0
5175,0,0
10285,0,0
8376,0,0
397,0,0
783,0,0
3931,0,0
6074,1,0
3381,0,0
2407,0,0
5441,0,0
2896,0,0
4733,0,0
5638,0,0
2677,0,0
6410,0,0
1648,0,0
2741,0,0
6574,0,0
2983,0,0
6956,0,0
473,0,0
831,0,0
2000,0,0
1364,0,0
8801,0,0
2423,0,0
7636,0,0
10386,0,0
5727,0,0
2074,0,0
4288,0,0
6083,0,0
8224,0,0
7580,0,0
9345,0,0
4182,0,0
1784,0,0
1191,0,0
6222,0,0
9708,0,0
7840,0,0
6610,0,0
949,0,0
8145,0,0
4697,0,0
9308,0,0
8715,0,0
1889,0,0
8214,0,0
7277,0,0
1664,0,0
533,0,0
3611,0,0
4304,0,0
3493,0,0
1565,0,0
4358,0,0
3040,0,0
10166,0,0
5007,1,0
6865,0,0
6105,0,0
10236,1,0
8008,0,0
471,0,0
2148,0,0
9218,0,0
2906,0,0
10110,0,0
5386,0,0
1354,0,0
9500,0,0
8395,0,0
6759,0,0
9846,0,0
7079,0,0
2714,0,0
5751,0,0
7639,0,0
3998,0,0
9946,0,0
5970,0,0
4321,0,0
10656,0,0
10079,0,0
28,0,0
1502,0,0
3994,0,0
5481,0,0
4253,0,0
9314,0,0
8242,0,0
6130,0,0
9395,0,0
8805,0,0
2367,0,0
3483,0,0
7257,0,0
4375,0,0
8090,0,0
8107,0,0
422,0,0
8183,0,0
7148,0,0
6563,0,0
7920,0,0
2461,0,0
5755,0,0
4579,0,0
2111,0,0
10535,0,0
6854,0,0
7647,0,0
10051,0,0
3221,0,0
10621,0,0
8097,0,0
3623,0,0
2471,0,0
10464,0,0
1398,0,0
6128,0,0
7068,0,0
8061,0,0
2184,1,0
8178,0,0
1268,0,0
5359,0,0
3504,0,0
4866,0,0
2289,0,0
2104,0,0
221,0,0
4207,0,0
